time,Solar_Radiation_Wm2,Outdoor_Temp_C,Dew_Point_C,Wind_Speed_ms,Wind_Dir_deg,Humidity_pct,Rain_mm,PM25_ugm3,PM10_ugm3,dew_point_2m (°C)
2026-09-21 10:00:00,569.0,26.4,19.5,3.1,358.0,66.0,0.0,7.2,12.8,19.5
2026-09-21 11:00:00,666.0,27.7,18.7,2.7,360.0,58.0,0.0,7.5,10.9,18.7
2026-09-21 12:00:00,683.0,28.8,18.0,1.82,9.0,52.0,0.0,7.6,10.6,18.0
2026-09-21 13:00:00,657.0,29.6,17.1,1.12,63.0,47.0,0.0,7.1,10.9,17.1
2026-09-21 14:00:00,584.0,29.1,21.9,2.33,115.0,65.0,0.0,6.8,9.5,21.9
2026-09-21 15:00:00,475.0,27.1,20.7,2.96,102.0,68.0,0.0,6.3,8.4,20.7
2026-09-21 16:00:00,381.0,26.9,21.5,2.6,92.0,72.0,0.0,6.1,7.9,21.5
2026-09-21 17:00:00,233.0,26.9,19.5,2.12,82.0,64.0,0.0,5.9,7.8,19.5
2026-09-21 18:00:00,72.0,26.4,19.6,1.84,45.0,66.0,0.0,6.1,8.4,19.6
2026-09-21 19:00:00,2.0,25.9,19.5,1.3,32.0,68.0,0.0,6.3,9.5,19.5
2026-09-21 20:00:00,0.0,25.3,20.6,1.0,37.0,75.0,0.0,7.5,10.9,20.6
2026-09-21 21:00:00,0.0,24.8,20.1,1.3,4.0,75.0,0.0,7.2,12.1,20.1
2026-09-21 22:00:00,0.0,24.2,19.9,1.4,356.0,77.0,0.0,7.8,13.1,19.9
2026-09-21 23:00:00,0.0,23.5,20.5,1.39,339.0,83.0,0.0,8.1,12.5,20.5
2026-09-22 00:00:00,0.0,23.1,20.5,1.48,332.0,85.0,0.0,7.5,11.5,20.5
2026-09-22 01:00:00,0.0,22.8,20.6,1.79,333.0,87.0,0.0,7.2,10.9,20.6
2026-09-22 02:00:00,0.0,22.7,20.2,1.7,332.0,86.0,0.0,7.2,10.1,20.2
2026-09-22 03:00:00,0.0,22.6,20.3,1.75,329.0,87.0,0.0,6.4,11.0,20.3
2026-09-22 04:00:00,0.0,22.5,20.0,1.56,320.0,86.0,0.0,6.1,10.6,20.0
2026-09-22 05:00:00,0.0,22.3,20.1,1.7,320.0,87.0,0.0,6.2,9.9,20.1
2026-09-22 06:00:00,0.0,22.2,19.6,1.94,325.0,85.0,0.0,6.3,10.4,19.6
2026-09-22 07:00:00,41.0,22.5,19.1,2.28,331.0,81.0,0.0,6.6,11.3,19.1
2026-09-22 08:00:00,188.0,23.7,18.8,2.82,337.0,74.0,0.0,6.4,11.5,18.8
2026-09-22 09:00:00,361.0,25.3,18.7,3.3,346.0,67.0,0.0,6.4,10.3,18.7
2026-09-22 10:00:00,529.0,26.7,18.6,3.7,358.0,61.0,0.0,6.0,11.9,18.6
2026-09-22 11:00:00,588.0,27.8,18.2,3.31,3.0,56.0,0.0,6.0,12.3,18.2
2026-09-22 12:00:00,586.0,28.7,17.3,2.47,14.0,50.0,0.0,5.9,12.3,17.3
2026-09-22 13:00:00,535.0,28.2,21.3,2.22,82.0,66.0,0.0,5.7,12.1,21.3
2026-09-22 14:00:00,412.0,27.2,21.0,2.0,87.0,69.0,0.0,5.7,10.7,21.0
2026-09-22 15:00:00,472.0,26.8,21.4,1.91,84.0,72.0,0.0,5.6,10.5,21.4
2026-09-22 16:00:00,377.0,26.7,21.0,1.79,63.0,71.0,0.0,5.8,11.4,21.0
2026-09-22 17:00:00,244.0,26.9,20.5,1.84,61.0,68.0,0.0,6.2,11.5,20.5
2026-09-22 18:00:00,83.0,26.3,21.1,1.65,76.0,73.0,0.0,6.2,12.3,21.1
2026-09-22 19:00:00,1.0,25.7,21.2,1.81,84.0,76.0,0.0,6.0,11.9,21.2
2026-09-22 20:00:00,0.0,25.5,21.2,1.39,69.0,77.0,0.0,5.9,12.1,21.2
2026-09-22 21:00:00,0.0,25.1,20.6,1.56,40.0,76.0,0.0,5.8,12.3,20.6
2026-09-22 22:00:00,0.0,24.6,21.5,1.14,15.0,83.0,0.0,6.0,11.6,21.5
2026-09-22 23:00:00,0.0,23.9,21.6,1.21,336.0,87.0,0.0,5.7,10.4,21.6
